City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Rawson,AR,2021-07-27 22:07:13,-43.3002,-65.1023,43.36,64,62,19.6
106,Matamoros,MX,2021-07-27 22:09:51,25.5333,-103.25,95.11,27,40,6.91
107,Coquimbo,CL,2021-07-27 22:09:51,-29.9533,-71.3436,55.13,82,0,6.91
108,Ust-Maya,RU,2021-07-27 22:09:52,60.4167,134.5333,66.43,64,1,2.75
109,Port Alfred,ZA,2021-07-27 22:09:52,-33.5906,26.891,68.23,43,4,12.64
110,Sorgun,TR,2021-07-27 22:09:53,39.8101,35.186,59.94,68,0,6.62
111,Bathsheba,BB,2021-07-27 22:09:53,13.2167,-59.5167,83.01,69,20,17.27
112,Chernukha,RU,2021-07-27 22:09:53,55.5974,43.7556,58.93,75,30,2.08
113,Tukums,LV,2021-07-27 22:09:54,56.9669,23.1553,67.35,98,64,5.03
114,Waipawa,NZ,2021-07-27 22:09:54,-41.4122,175.5153,48.04,77,0,2.33
115,Mahebourg,MU,2021-07-27 22:09:54,-20.4081,57.7,68.25,86,98,16.44
116,Lofthus,NO,2021-07-27 22:09:55,59.9468,10.8018,64.58,66,100,6.13
117,Kiunga,PG,2021-07-27 22:09:55,-6.1219,141.2906,73.83,98,100,1.9
118,Yulara,AU,2021-07-27 22:09:56,-25.2406,130.9889,58.84,55,90,0.0
119,Concordia,AR,2021-07-27 22:09:56,-31.393,-58.0209,49.78,54,4,11.99
120,Inongo,CD,2021-07-27 22:09:56,-1.95,18.2667,70.65,43,7,4.14
121,Chateauroux,FR,2021-07-27 22:09:57,46.8167,1.7,66.2,77,90,11.5
122,Boa Vista,BR,2021-07-27 22:09:57,2.8197,-60.6733,75.18,88,75,8.05
123,Riyadh,SA,2021-07-27 22:05:06,24.6877,46.7219,105.94,12,69,11.56
124,Lorengau,PG,2021-07-27 22:06:41,-2.0226,147.2712,83.75,73,5,4.79
125,Port Elizabeth,ZA,2021-07-27 22:09:58,-33.918,25.5701,57.09,86,18,11.52
126,Sibu,MY,2021-07-27 22:09:58,2.3,111.8167,74.34,97,92,2.04
127,Tasiilaq,GL,2021-07-27 22:09:59,65.6145,-37.6368,44.76,78,33,7.65
128,Pacific Grove,US,2021-07-27 22:09:59,36.6177,-121.9166,94.15,74,1,11.99
129,Canutama,BR,2021-07-27 22:10:00,-6.5339,-64.3831,88.45,39,27,2.59
130,Timmins,CA,2021-07-27 22:10:00,48.4669,-81.3331,72.23,36,16,5.64
131,North Bend,US,2021-07-27 22:10:00,43.4065,-124.2243,75.92,76,1,23.02
132,Chokurdakh,RU,2021-07-27 22:10:01,70.6333,147.9167,38.03,77,100,11.86
133,Baffa,PK,2021-07-27 22:10:03,34.4378,73.2194,79.52,84,60,0.58
134,Mar Del Plata,AR,2021-07-27 22:10:04,-38.0023,-57.5575,47.12,65,75,10.0
135,Faanui,PF,2021-07-27 22:10:05,-16.4833,-151.75,78.03,74,25,7.7
136,Ankara,TR,2021-07-27 22:05:42,39.9199,32.8543,70.99,45,0,2.3
137,Port Macquarie,AU,2021-07-27 22:06:24,-31.4333,152.9167,44.56,63,7,8.28
138,Hailar,CN,2021-07-27 22:10:05,49.2,119.7,61.34,89,2,5.88
139,Husavik,IS,2021-07-27 22:10:06,66.0449,-17.3389,50.61,99,100,9.51
140,Envira,BR,2021-07-27 22:10:06,-7.3,-70.2167,83.71,60,89,1.01
141,Tura,IN,2021-07-27 22:10:06,25.5198,90.2201,74.35,97,99,3.18
142,Lebu,CL,2021-07-27 22:10:07,-37.6167,-73.65,47.98,76,0,24.14
143,Krasnoselkup,RU,2021-07-27 22:10:07,65.7,82.4667,47.64,92,100,8.39
144,Saint George,US,2021-07-27 22:10:08,37.1041,-113.5841,97.63,29,1,1.01
145,Cabedelo,BR,2021-07-27 22:10:08,-6.9811,-34.8339,75.87,84,7,10.85
146,La Ronge,CA,2021-07-27 22:10:08,55.1001,-105.2842,73.29,49,41,10.67
147,Clyde River,CA,2021-07-27 22:06:13,70.4692,-68.5914,45.66,74,96,5.28
148,Touros,BR,2021-07-27 22:06:00,-5.1989,-35.4608,76.1,82,0,13.33
149,Labuhan,ID,2021-07-27 22:10:09,-6.8844,112.2051,72.72,89,22,6.62
150,Nikolskoye,RU,2021-07-27 22:10:09,59.7035,30.7861,69.4,62,89,5.03
151,Port-Gentil,GA,2021-07-27 22:10:10,-0.7193,8.7815,76.05,80,72,11.86
