City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Nantucket,US,41.2835,-70.0995,71.71,75,1,17.27,clear sky
308,Lasa,IT,46.6166,10.7002,65.28,93,5,2.35,clear sky
309,Kichera,RU,55.9375,110.0997,64.83,67,0,7.07,clear sky
310,Bathsheba,BB,13.2167,-59.5167,83.01,69,20,14.97,few clouds
311,Aalen,DE,48.8378,10.0933,62.01,81,43,1.05,scattered clouds
312,Kayerkan,RU,69.3497,87.7602,56.16,85,99,5.77,overcast clouds
313,Caravelas,BR,-17.7125,-39.2481,70.68,76,100,15.82,overcast clouds
314,Lavrentiya,RU,65.5833,-171.0,47.25,81,75,12.46,broken clouds
315,Fort Nelson,CA,58.8053,-122.7002,78.39,27,40,4.61,scattered clouds
316,La Ronge,CA,55.1001,-105.2842,80.85,34,75,4.61,broken clouds
317,Cananeia,BR,-25.0147,-47.9267,48.88,61,3,1.39,clear sky
318,Gorontalo,ID,0.5412,123.0595,78.22,81,39,1.21,scattered clouds
319,Gannan,CN,47.9147,123.5031,71.89,89,67,1.16,broken clouds
320,Tyup,KG,42.7276,78.3648,59.36,91,100,1.7,overcast clouds
321,Havre-Saint-Pierre,CA,50.2334,-63.5986,62.96,59,75,9.22,broken clouds
322,Tanete,ID,-3.9443,119.7848,76.17,89,98,3.91,overcast clouds
323,Port Elizabeth,ZA,-33.918,25.5701,53.89,87,0,5.75,clear sky
324,Grindavik,IS,63.8424,-22.4338,58.95,88,0,5.75,clear sky
325,Broome,US,42.2506,-75.833,74.55,88,90,1.01,overcast clouds
326,Derzhavinsk,KZ,51.1,66.3167,55.56,55,1,3.38,clear sky
327,Igdir,TR,39.9237,44.045,67.93,67,56,5.06,broken clouds
328,Salvador,SV,13.8333,-88.9167,81.0,74,85,0.63,overcast clouds
329,Tadine,NC,-21.55,167.8833,73.9,57,4,7.07,clear sky
330,Yaan,NG,7.3833,8.5667,71.58,96,21,4.74,moderate rain
331,Choya,RU,52.0108,86.5467,52.79,83,84,2.95,broken clouds
332,Vostok,RU,46.4856,135.8833,69.69,96,97,2.37,light rain
333,Saint-Leu,RE,-21.15,55.2833,67.06,74,80,6.49,broken clouds
334,Camana,PE,-16.6228,-72.7111,61.77,81,6,7.14,clear sky
335,Taksimo,RU,56.3444,114.8794,66.13,70,7,0.87,clear sky
336,Borba,BR,-4.3878,-59.5939,82.27,45,41,1.97,scattered clouds
337,Male,MV,4.1748,73.5089,82.35,78,75,11.5,broken clouds
338,Termoli,IT,41.9888,14.9895,76.68,48,0,4.63,clear sky
339,Srednekolymsk,RU,67.45,153.6833,44.33,59,22,8.57,few clouds
340,Araguaina,BR,-7.1911,-48.2072,81.77,28,1,1.48,clear sky
341,Vila Velha,BR,-20.3297,-40.2925,67.95,64,75,17.27,broken clouds
342,Cabedelo,BR,-6.9811,-34.8339,75.87,80,27,13.42,scattered clouds
343,Turangi,NZ,-39.0,175.9333,56.43,80,45,2.26,scattered clouds
344,Buala,SB,-8.145,159.5921,83.21,73,1,6.8,clear sky
345,Pokhara,NP,28.2333,83.9833,72.48,87,92,1.74,overcast clouds
346,Aklavik,CA,68.2191,-135.0107,70.52,56,75,2.3,broken clouds
347,San Carlos De Bariloche,AR,-41.1456,-71.3082,46.15,56,0,0.0,clear sky
