City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
257,Kurud,IN,74.37,light rain,20.8322,81.7214,HOTEL DEWANGAN
259,Port Blair,IN,81.99,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
260,Manga,BF,76.57,overcast clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
262,Aquiraz,BR,80.69,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
266,Port-Gentil,GA,76.96,few clouds,-0.7193,8.7815,Fengshui Residence
269,Les Cayes,HT,81.48,clear sky,18.2,-73.75,Villa Orphee
270,Pangkalanbuun,ID,73.92,light rain,-2.6833,111.6167,Grand Kecubung Hotel
272,Hun,LY,80.13,clear sky,29.1268,15.9477,Alrwasi Hotel
273,Marsaxlokk,MT,83.08,clear sky,35.8419,14.5431,Water's Edge
275,Belmonte,BR,73.9,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
276,Dicabisagan,PH,83.1,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
283,Bethel,US,72.72,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
285,Zarubino,RU,77.67,overcast clouds,42.63,131.0922,"""Okean"" Baza Otdykha"
289,Hasaki,JP,79.29,scattered clouds,35.7333,140.8333,Hotel Sunrise Choshi
290,Bambanglipuro,ID,74.43,overcast clouds,-7.95,110.2833,Puri Brata
294,Kuala Terengganu,MY,78.75,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
295,Tabou,CI,76.12,overcast clouds,4.423,-7.3528,hotêl doufoulougou
298,Asfi,MA,70.77,scattered clouds,32.2994,-9.2372,Hôtel Abda
302,Progreso,MX,88.11,broken clouds,21.2833,-89.6667,Playa Linda Hotel
303,Puerto Escondido,MX,86.83,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
304,Sola,VU,81.27,overcast clouds,-13.8833,167.55,Leumerus Bungalows
305,Touros,BR,77.9,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
306,Kifri,IQ,93.43,clear sky,34.6959,44.9661,میزان کفری
307,Nantucket,US,71.71,clear sky,41.2835,-70.0995,Jared Coffin House
310,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
313,Caravelas,BR,70.68,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
315,Fort Nelson,CA,78.39,scattered clouds,58.8053,-122.7002,The Fort Nelson Hotel
316,La Ronge,CA,80.85,broken clouds,55.1001,-105.2842,Northland Motor Hotel
318,Gorontalo,ID,78.22,scattered clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
319,Gannan,CN,71.89,broken clouds,47.9147,123.5031,Gannan Supply and Marketing Cooperatives Hostel
322,Tanete,ID,76.17,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
325,Broome,US,74.55,overcast clouds,42.2506,-75.833,Chenango Valley State Park
328,Salvador,SV,81.0,overcast clouds,13.8333,-88.9167,Chico's Ranch
336,Borba,BR,82.27,scattered clouds,-4.3878,-59.5939,Hotel da Amazônia
337,Male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
338,Termoli,IT,76.68,clear sky,41.9888,14.9895,Hotel Mistral
340,Araguaina,BR,81.77,clear sky,-7.1911,-48.2072,Hotel São Vicente
342,Cabedelo,BR,75.87,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
